Número de documentos del corpus: 4480
Número de palabras del corpus: 394850
Palabra: aa Frec: 8 LogProb: -10.817241736758286
Palabra: aaa Frec: 4 LogProb: -11.405028401660406
Palabra: aaar Frec: 1 LogProb: -12.32131913353456
Palabra: aaas Frec: 1 LogProb: -12.32131913353456
Palabra: aachen Frec: 1 LogProb: -12.32131913353456
Palabra: aadhunik Frec: 1 LogProb: -12.32131913353456
Palabra: aadmi Frec: 1 LogProb: -12.32131913353456
Palabra: aai Frec: 4 LogProb: -11.405028401660406
Palabra: aakash Frec: 1 LogProb: -12.32131913353456
Palabra: aam Frec: 1 LogProb: -12.32131913353456
Palabra: aandhi Frec: 1 LogProb: -12.32131913353456
Palabra: aanya Frec: 1 LogProb: -12.32131913353456
Palabra: aao Frec: 3 LogProb: -11.628171952974615
Palabra: aar Frec: 1 LogProb: -12.32131913353456
Palabra: aarfa Frec: 1 LogProb: -12.32131913353456
Palabra: aaron Frec: 3 LogProb: -11.628171952974615
Palabra: aaronovitch Frec: 3 LogProb: -11.628171952974615
Palabra: aart Frec: 4 LogProb: -11.405028401660406
Palabra: aarti Frec: 3 LogProb: -11.628171952974615
Palabra: aas Frec: 1 LogProb: -12.32131913353456
Palabra: aashiqui Frec: 1 LogProb: -12.32131913353456
Palabra: aashto Frec: 1 LogProb: -12.32131913353456
Palabra: aati Frec: 1 LogProb: -12.32131913353456
Palabra: aavishkar Frec: 1 LogProb: -12.32131913353456
Palabra: ab Frec: 9 LogProb: -10.71188122110046
Palabra: aba Frec: 4 LogProb: -11.405028401660406
Palabra: ababa Frec: 1 LogProb: -12.32131913353456
Palabra: abandon Frec: 1 LogProb: -12.32131913353456
Palabra: abandoned Frec: 10 LogProb: -10.616571041296135
Palabra: abandoning Frec: 1 LogProb: -12.32131913353456
Palabra: abandons Frec: 1 LogProb: -12.32131913353456
Palabra: abap Frec: 1 LogProb: -12.32131913353456
Palabra: abba Frec: 3 LogProb: -11.628171952974615
Palabra: abbasi Frec: 1 LogProb: -12.32131913353456
Palabra: abbasid Frec: 1 LogProb: -12.32131913353456
Palabra: abbey Frec: 1 LogProb: -12.32131913353456
Palabra: abbott Frec: 9 LogProb: -10.71188122110046
Palabra: abbreviation Frec: 1 LogProb: -12.32131913353456
Palabra: abbreviations Frec: 2 LogProb: -11.915854025426396
Palabra: abby Frec: 3 LogProb: -11.628171952974615
Palabra: abc Frec: 21 LogProb: -9.92342386073619
Palabra: abcs Frec: 3 LogProb: -11.628171952974615
Palabra: abd Frec: 1 LogProb: -12.32131913353456
Palabra: abdomino Frec: 1 LogProb: -12.32131913353456
Palabra: abdool Frec: 1 LogProb: -12.32131913353456
Palabra: abdul Frec: 11 LogProb: -10.529559664306506
Palabra: abec Frec: 1 LogProb: -12.32131913353456
Palabra: abel Frec: 14 LogProb: -10.306416112992295
Palabra: aberdeen Frec: 1 LogProb: -12.32131913353456
Palabra: aberrant Frec: 1 LogProb: -12.32131913353456
Palabra: aberystwyth Frec: 1 LogProb: -12.32131913353456
Palabra: abha Frec: 1 LogProb: -12.32131913353456
Palabra: abhi Frec: 1 LogProb: -12.32131913353456
Palabra: abhijeet Frec: 1 LogProb: -12.32131913353456
Palabra: abhinav Frec: 3 LogProb: -11.628171952974615
Palabra: abhishek Frec: 8 LogProb: -10.817241736758286
Palabra: abhivriti Frec: 3 LogProb: -11.628171952974615
Palabra: abhiyanta Frec: 1 LogProb: -12.32131913353456
Palabra: abhiyogyata Frec: 1 LogProb: -12.32131913353456
Palabra: abhm Frec: 1 LogProb: -12.32131913353456
Palabra: abhor Frec: 1 LogProb: -12.32131913353456
Palabra: abhorrence Frec: 1 LogProb: -12.32131913353456
Palabra: abide Frec: 1 LogProb: -12.32131913353456
Palabra: abided Frec: 1 LogProb: -12.32131913353456
Palabra: abiding Frec: 2 LogProb: -11.915854025426396
Palabra: abie Frec: 3 LogProb: -11.628171952974615
Palabra: abigail Frec: 6 LogProb: -11.068556165039192
Palabra: abilities Frec: 12 LogProb: -10.44951695663297
Palabra: ability Frec: 130 LogProb: -8.139268990893354
Palabra: abject Frec: 1 LogProb: -12.32131913353456
Palabra: abjection Frec: 1 LogProb: -12.32131913353456
Palabra: abled Frec: 1 LogProb: -12.32131913353456
Palabra: ably Frec: 2 LogProb: -11.915854025426396
Palabra: abnormal Frec: 6 LogProb: -11.068556165039192
Palabra: aboard Frec: 6 LogProb: -11.068556165039192
Palabra: abode Frec: 2 LogProb: -11.915854025426396
Palabra: abolished Frec: 1 LogProb: -12.32131913353456
Palabra: abominations Frec: 1 LogProb: -12.32131913353456
Palabra: aboriginal Frec: 1 LogProb: -12.32131913353456
Palabra: aborn Frec: 1 LogProb: -12.32131913353456
Palabra: abortion Frec: 15 LogProb: -10.241877591854724
Palabra: abortions Frec: 1 LogProb: -12.32131913353456
Palabra: abortive Frec: 1 LogProb: -12.32131913353456
Palabra: abound Frec: 1 LogProb: -12.32131913353456
Palabra: abounds Frec: 1 LogProb: -12.32131913353456
Palabra: above Frec: 78 LogProb: -8.645018461627483
Palabra: abovea Frec: 1 LogProb: -12.32131913353456
Palabra: aboveideal Frec: 1 LogProb: -12.32131913353456
Palabra: abpp Frec: 2 LogProb: -11.915854025426396
Palabra: abraham Frec: 13 LogProb: -10.375408984479247
Palabra: abrahams Frec: 1 LogProb: -12.32131913353456
Palabra: abrams Frec: 2 LogProb: -11.915854025426396
Palabra: abramson Frec: 1 LogProb: -12.32131913353456
Palabra: abreast Frec: 2 LogProb: -11.915854025426396
Palabra: abridged Frec: 5 LogProb: -11.222706844866451
Palabra: abridgement Frec: 1 LogProb: -12.32131913353456
Palabra: abridgment Frec: 2 LogProb: -11.915854025426396
Palabra: abridgments Frec: 1 LogProb: -12.32131913353456
Palabra: abroad Frec: 30 LogProb: -9.58047910960936
Palabra: abruptly Frec: 2 LogProb: -11.915854025426396
Palabra: abruzzi Frec: 6 LogProb: -11.068556165039192
Palabra: abs Frec: 5 LogProb: -11.222706844866451
Palabra: absence Frec: 8 LogProb: -10.817241736758286
Palabra: absent Frec: 3 LogProb: -11.628171952974615
Palabra: absolute Frec: 16 LogProb: -10.18125297003829
Palabra: absolutebest Frec: 1 LogProb: -12.32131913353456
Palabra: absolutely Frec: 54 LogProb: -9.007133128862035
Palabra: absolutism Frec: 1 LogProb: -12.32131913353456
Palabra: absolutist Frec: 1 LogProb: -12.32131913353456
Palabra: absorb Frec: 7 LogProb: -10.93502477241467
Palabra: absorbed Frec: 5 LogProb: -11.222706844866451
Palabra: absorbent Frec: 1 LogProb: -12.32131913353456
Palabra: absorbing Frec: 31 LogProb: -9.548730411294779
Palabra: absorbingly Frec: 2 LogProb: -11.915854025426396
Palabra: absorbs Frec: 4 LogProb: -11.405028401660406
Palabra: abstract Frec: 5 LogProb: -11.222706844866451
Palabra: abstracted Frec: 1 LogProb: -12.32131913353456
Palabra: abstraction Frec: 1 LogProb: -12.32131913353456
Palabra: abstractions Frec: 1 LogProb: -12.32131913353456
Palabra: absurd Frec: 10 LogProb: -10.616571041296135
Palabra: absurdism Frec: 1 LogProb: -12.32131913353456
Palabra: absurdities Frec: 1 LogProb: -12.32131913353456
Palabra: absurdity Frec: 2 LogProb: -11.915854025426396
Palabra: absurdly Frec: 2 LogProb: -11.915854025426396
Palabra: abt Frec: 2 LogProb: -11.915854025426396
Palabra: abta Frec: 1 LogProb: -12.32131913353456
Palabra: abu Frec: 4 LogProb: -11.405028401660406
Palabra: abubaker Frec: 1 LogProb: -12.32131913353456
Palabra: abuela Frec: 2 LogProb: -11.915854025426396
Palabra: abul Frec: 1 LogProb: -12.32131913353456
Palabra: abundance Frec: 10 LogProb: -10.616571041296135
Palabra: abundant Frec: 5 LogProb: -11.222706844866451
Palabra: abundantly Frec: 1 LogProb: -12.32131913353456
Palabra: abuse Frec: 11 LogProb: -10.529559664306506
Palabra: abuses Frec: 5 LogProb: -11.222706844866451
Palabra: abusive Frec: 2 LogProb: -11.915854025426396
Palabra: abyssinia Frec: 1 LogProb: -12.32131913353456
Palabra: ac Frec: 3 LogProb: -11.628171952974615
Palabra: acadamese Frec: 1 LogProb: -12.32131913353456
Palabra: academia Frec: 11 LogProb: -10.529559664306506
Palabra: academic Frec: 132 LogProb: -8.124117185872752
Palabra: academically Frec: 1 LogProb: -12.32131913353456
Palabra: academician Frec: 4 LogProb: -11.405028401660406
Palabra: academicians Frec: 1 LogProb: -12.32131913353456
Palabra: academics Frec: 9 LogProb: -10.71188122110046
Palabra: academies Frec: 5 LogProb: -11.222706844866451
Palabra: academy Frec: 106 LogProb: -8.341637479632599
Palabra: acadia Frec: 2 LogProb: -11.915854025426396
Palabra: acc Frec: 1 LogProb: -12.32131913353456
Palabra: accelerate Frec: 2 LogProb: -11.915854025426396
Palabra: accelerated Frec: 3 LogProb: -11.628171952974615
Palabra: accelerating Frec: 5 LogProb: -11.222706844866451
Palabra: acceleration Frec: 1 LogProb: -12.32131913353456
Palabra: accelerator Frec: 4 LogProb: -11.405028401660406
Palabra: accent Frec: 12 LogProb: -10.44951695663297
Palabra: accents Frec: 2 LogProb: -11.915854025426396
Palabra: accenture Frec: 2 LogProb: -11.915854025426396
Palabra: accept Frec: 19 LogProb: -10.018734040540515
Palabra: acceptable Frec: 1 LogProb: -12.32131913353456
Palabra: acceptance Frec: 21 LogProb: -9.92342386073619
Palabra: accepted Frec: 15 LogProb: -10.241877591854724
Palabra: accepting Frec: 4 LogProb: -11.405028401660406
Palabra: access Frec: 74 LogProb: -8.696978200558195
Palabra: accessed Frec: 3 LogProb: -11.628171952974615
Palabra: accesses Frec: 1 LogProb: -12.32131913353456
Palabra: accessib Frec: 1 LogProb: -12.32131913353456
Palabra: accessibility Frec: 6 LogProb: -11.068556165039192
Palabra: accessible Frec: 129 LogProb: -8.146931863638923
Palabra: accessibly Frec: 1 LogProb: -12.32131913353456
Palabra: accession Frec: 1 LogProb: -12.32131913353456
Palabra: accessories Frec: 25 LogProb: -9.756369776073024
Palabra: accessory Frec: 5 LogProb: -11.222706844866451
Palabra: accident Frec: 11 LogProb: -10.529559664306506
Palabra: accidental Frec: 3 LogProb: -11.628171952974615
Palabra: accidentally Frec: 5 LogProb: -11.222706844866451
Palabra: accidentmodern Frec: 1 LogProb: -12.32131913353456
