Número de documentos del corpus: 40701111111111111111111111111111111111
Número de palabras del corpus: 11192
Palabra: aa Frec: 3 LogProb: -19.44963387671535
Palabra: aadi Frec: 1 LogProb: -20.142781057275297
Palabra: aaiffel Frec: 1 LogProb: -20.142781057275297
Palabra: aaj Frec: 1 LogProb: -20.142781057275297
Palabra: aakrithi Frec: 14 LogProb: -18.12787803673303
Palabra: aania Frec: 4 LogProb: -19.22649032540114
Palabra: aaram Frec: 1 LogProb: -20.142781057275297
Palabra: aarbee Frec: 7 LogProb: -18.756486696155406
Palabra: aari Frec: 2 LogProb: -19.737315949167133
Palabra: aarika Frec: 4 LogProb: -19.22649032540114
Palabra: aasa Frec: 3 LogProb: -19.44963387671535
Palabra: aashirya Frec: 2 LogProb: -19.737315949167133
Palabra: aatachable Frec: 1 LogProb: -20.142781057275297
Palabra: aattractive Frec: 2 LogProb: -19.737315949167133
Palabra: aatu Frec: 2 LogProb: -19.737315949167133
Palabra: ab Frec: 1 LogProb: -20.142781057275297
Palabra: abarata Frec: 1 LogProb: -20.142781057275297
Palabra: abaya Frec: 51 LogProb: -16.884684519253813
Palabra: abayas Frec: 3 LogProb: -19.44963387671535
Palabra: abd Frec: 2 LogProb: -19.737315949167133
Palabra: abdomen Frec: 27 LogProb: -17.503723727660038
Palabra: abdominal Frec: 17 LogProb: -17.945556479939075
Palabra: abe Frec: 2 LogProb: -19.737315949167133
Palabra: abhaya Frec: 1 LogProb: -20.142781057275297
Palabra: abhi Frec: 26 LogProb: -17.54009137183091
Palabra: abilities Frec: 1 LogProb: -20.142781057275297
Palabra: ability Frec: 16 LogProb: -18.002714893779025
Palabra: abiti Frec: 1 LogProb: -20.142781057275297
Palabra: abito Frec: 5 LogProb: -19.044168768607186
Palabra: ablity Frec: 1 LogProb: -20.142781057275297
Palabra: above Frec: 80 LogProb: -16.441479083162804
Palabra: abrasion Frec: 2 LogProb: -19.737315949167133
Palabra: abrasive Frec: 2 LogProb: -19.737315949167133
Palabra: abroad Frec: 4 LogProb: -19.22649032540114
Palabra: abs Frec: 2 LogProb: -19.737315949167133
Palabra: absence Frec: 1 LogProb: -20.142781057275297
Palabra: absolute Frec: 16 LogProb: -18.002714893779025
Palabra: absolutely Frec: 19 LogProb: -17.84019596428125
Palabra: absorb Frec: 15 LogProb: -18.06333951559546
Palabra: absorbency Frec: 5 LogProb: -19.044168768607186
Palabra: absorbent Frec: 49 LogProb: -16.923905232407094
Palabra: absorber Frec: 1 LogProb: -20.142781057275297
Palabra: absorbing Frec: 28 LogProb: -17.468632407848766
Palabra: absorbs Frec: 19 LogProb: -17.84019596428125
Palabra: absorption Frec: 12 LogProb: -18.270978880373704
Palabra: abstinent Frec: 1 LogProb: -20.142781057275297
Palabra: abstract Frec: 4 LogProb: -19.22649032540114
Palabra: abundant Frec: 1 LogProb: -20.142781057275297
Palabra: abx Frec: 1 LogProb: -20.142781057275297
Palabra: aby Frec: 1 LogProb: -20.142781057275297
Palabra: accelerate Frec: 2 LogProb: -19.737315949167133
Palabra: accelerates Frec: 1 LogProb: -20.142781057275297
Palabra: acceleration Frec: 1 LogProb: -20.142781057275297
Palabra: accent Frec: 4 LogProb: -19.22649032540114
Palabra: accenting Frec: 1 LogProb: -20.142781057275297
Palabra: accents Frec: 4 LogProb: -19.22649032540114
Palabra: accentuate Frec: 4 LogProb: -19.22649032540114
Palabra: accentuated Frec: 4 LogProb: -19.22649032540114
Palabra: accentuates Frec: 2 LogProb: -19.737315949167133
Palabra: accept Frec: 3 LogProb: -19.44963387671535
Palabra: acceptable Frec: 4 LogProb: -19.22649032540114
Palabra: accepted Frec: 2 LogProb: -19.737315949167133
Palabra: access Frec: 31 LogProb: -17.370192335035515
Palabra: accessible Frec: 4 LogProb: -19.22649032540114
Palabra: accessories Frec: 4274 LogProb: -12.475388856464381
Palabra: accessoriesoccasion Frec: 1 LogProb: -20.142781057275297
Palabra: accessorise Frec: 1 LogProb: -20.142781057275297
Palabra: accessorize Frec: 14 LogProb: -18.12787803673303
Palabra: accessory Frec: 129 LogProb: -15.968393787379659
Palabra: accident Frec: 1 LogProb: -20.142781057275297
Palabra: accidental Frec: 1 LogProb: -20.142781057275297
Palabra: acclaimed Frec: 3 LogProb: -19.44963387671535
Palabra: accommodate Frec: 9 LogProb: -18.533343144841194
Palabra: accommodating Frec: 3 LogProb: -19.44963387671535
Palabra: accompanied Frec: 2 LogProb: -19.737315949167133
Palabra: accompany Frec: 1 LogProb: -20.142781057275297
Palabra: accompanying Frec: 3 LogProb: -19.44963387671535
Palabra: accomplish Frec: 9 LogProb: -18.533343144841194
Palabra: accordance Frec: 1 LogProb: -20.142781057275297
Palabra: according Frec: 44 LogProb: -17.029265748064923
Palabra: accordingly Frec: 14 LogProb: -18.12787803673303
Palabra: account Frec: 1 LogProb: -20.142781057275297
Palabra: accounted Frec: 2 LogProb: -19.737315949167133
Palabra: accounts Frec: 2 LogProb: -19.737315949167133
Palabra: accox Frec: 2 LogProb: -19.737315949167133
Palabra: accumulates Frec: 3 LogProb: -19.44963387671535
Palabra: accuracy Frec: 1 LogProb: -20.142781057275297
Palabra: accurate Frec: 11 LogProb: -18.351021588047242
Palabra: accurately Frec: 1 LogProb: -20.142781057275297
Palabra: ace Frec: 5 LogProb: -19.044168768607186
Palabra: acetate Frec: 2 LogProb: -19.737315949167133
Palabra: ache Frec: 1 LogProb: -20.142781057275297
Palabra: aches Frec: 1 LogProb: -20.142781057275297
Palabra: achieve Frec: 17 LogProb: -17.945556479939075
Palabra: achieved Frec: 4 LogProb: -19.22649032540114
Palabra: achievement Frec: 2 LogProb: -19.737315949167133
Palabra: achieving Frec: 1 LogProb: -20.142781057275297
Palabra: achilles Frec: 1 LogProb: -20.142781057275297
Palabra: achy Frec: 1 LogProb: -20.142781057275297
Palabra: acid Frec: 1 LogProb: -20.142781057275297
Palabra: acotton Frec: 1 LogProb: -20.142781057275297
Palabra: acquire Frec: 1 LogProb: -20.142781057275297
Palabra: acquired Frec: 2 LogProb: -19.737315949167133
Palabra: acquires Frec: 1 LogProb: -20.142781057275297
Palabra: acro Frec: 5 LogProb: -19.044168768607186
Palabra: acrylic Frec: 44 LogProb: -17.029265748064923
Palabra: acrylicsize Frec: 1 LogProb: -20.142781057275297
Palabra: acrylicweight Frec: 1 LogProb: -20.142781057275297
Palabra: act Frec: 10 LogProb: -18.43803296503687
Palabra: acting Frec: 3 LogProb: -19.44963387671535
Palabra: action Frec: 2 LogProb: -19.737315949167133
Palabra: actions Frec: 1 LogProb: -20.142781057275297
Palabra: activated Frec: 2 LogProb: -19.737315949167133
Palabra: activation Frec: 1 LogProb: -20.142781057275297
Palabra: active Frec: 82 LogProb: -16.417087630038644
Palabra: actively Frec: 4 LogProb: -19.22649032540114
Palabra: activewear Frec: 7 LogProb: -18.756486696155406
Palabra: activities Frec: 79 LogProb: -16.45390160316136
Palabra: activity Frec: 38 LogProb: -17.172366591705593
Palabra: actor Frec: 1 LogProb: -20.142781057275297
Palabra: acts Frec: 7 LogProb: -18.756486696155406
Palabra: actual Frec: 120 LogProb: -16.0401376922385
Palabra: actually Frec: 4 LogProb: -19.22649032540114
Palabra: ad Frec: 7 LogProb: -18.756486696155406
Palabra: ada Frec: 6 LogProb: -18.89001808877993
Palabra: adams Frec: 1 LogProb: -20.142781057275297
Palabra: adapt Frec: 4 LogProb: -19.22649032540114
Palabra: adaptable Frec: 1 LogProb: -20.142781057275297
Palabra: adapting Frec: 1 LogProb: -20.142781057275297
Palabra: adaptive Frec: 1 LogProb: -20.142781057275297
Palabra: adapts Frec: 2 LogProb: -19.737315949167133
Palabra: adbcuks Frec: 1 LogProb: -20.142781057275297
Palabra: adbucks Frec: 7 LogProb: -18.756486696155406
Palabra: add Frec: 170 LogProb: -15.694264681332582
Palabra: added Frec: 61 LogProb: -16.708793852790148
Palabra: addict Frec: 1 LogProb: -20.142781057275297
Palabra: addicted Frec: 1 LogProb: -20.142781057275297
Palabra: adding Frec: 34 LogProb: -17.280580176345826
Palabra: addition Frec: 100 LogProb: -16.22080772099398
Palabra: additiona Frec: 1 LogProb: -20.142781057275297
Palabra: additional Frec: 20 LogProb: -17.791405800111818
Palabra: additionally Frec: 4 LogProb: -19.22649032540114
Palabra: addon Frec: 4 LogProb: -19.22649032540114
Palabra: addressing Frec: 1 LogProb: -20.142781057275297
Palabra: adds Frec: 55 LogProb: -16.81057654710009
Palabra: addy Frec: 2 LogProb: -19.737315949167133
Palabra: adequate Frec: 2 LogProb: -19.737315949167133
Palabra: adequately Frec: 1 LogProb: -20.142781057275297
Palabra: adhere Frec: 2 LogProb: -19.737315949167133
Palabra: adhered Frec: 1 LogProb: -20.142781057275297
Palabra: adheres Frec: 2 LogProb: -19.737315949167133
Palabra: adhering Frec: 1 LogProb: -20.142781057275297
Palabra: adhesive Frec: 92 LogProb: -16.303328744681984
Palabra: adhesiveness Frec: 2 LogProb: -19.737315949167133
Palabra: adidas Frec: 5 LogProb: -19.044168768607186
Palabra: aditi Frec: 2 LogProb: -19.737315949167133
Palabra: adjust Frec: 30 LogProb: -17.401941033350095
Palabra: adjustability Frec: 1 LogProb: -20.142781057275297
Palabra: adjustable Frec: 164 LogProb: -15.729982763934661
