Número de documentos del corpus: 7561
Número de palabras del corpus: 565555
Palabra: aa Frec: 57 LogProb: -9.27632988732611
Palabra: aaa Frec: 31 LogProb: -9.871036995072803
Palabra: aac Frec: 1 LogProb: -12.643625717312585
Palabra: aadhya Frec: 3 LogProb: -11.95047853675264
Palabra: aadi Frec: 1 LogProb: -12.643625717312585
Palabra: aadmora Frec: 1 LogProb: -12.643625717312585
Palabra: aadvay Frec: 2 LogProb: -12.238160609204419
Palabra: aai Frec: 2 LogProb: -12.238160609204419
Palabra: aalim Frec: 1 LogProb: -12.643625717312585
Palabra: aam Frec: 4 LogProb: -11.727334985438429
Palabra: aamazing Frec: 1 LogProb: -12.643625717312585
Palabra: aamchur Frec: 1 LogProb: -12.643625717312585
Palabra: aameria Frec: 1 LogProb: -12.643625717312585
Palabra: aamras Frec: 1 LogProb: -12.643625717312585
Palabra: aandwiches Frec: 1 LogProb: -12.643625717312585
Palabra: aanya Frec: 1 LogProb: -12.643625717312585
Palabra: aanyacentric Frec: 1 LogProb: -12.643625717312585
Palabra: aaram Frec: 3 LogProb: -11.95047853675264
Palabra: aarav Frec: 1 LogProb: -12.643625717312585
Palabra: aari Frec: 2 LogProb: -12.238160609204419
Palabra: aarka Frec: 3 LogProb: -11.95047853675264
Palabra: aarsun Frec: 15 LogProb: -10.564184175632748
Palabra: aart Frec: 18 LogProb: -10.39233391870609
Palabra: aarti Frec: 4 LogProb: -11.727334985438429
Palabra: aashi Frec: 4 LogProb: -11.727334985438429
Palabra: aata Frec: 1 LogProb: -12.643625717312585
Palabra: aattractive Frec: 1 LogProb: -12.643625717312585
Palabra: aazeem Frec: 4 LogProb: -11.727334985438429
Palabra: ab Frec: 4 LogProb: -11.727334985438429
Palabra: abacus Frec: 1 LogProb: -12.643625717312585
Palabra: abbyhus Frec: 1 LogProb: -12.643625717312585
Palabra: abc Frec: 7 LogProb: -11.257331356192694
Palabra: abee Frec: 1 LogProb: -12.643625717312585
Palabra: aberration Frec: 5 LogProb: -11.545013428644474
Palabra: abhista Frec: 1 LogProb: -12.643625717312585
Palabra: abhiyaan Frec: 5 LogProb: -11.545013428644474
Palabra: abies Frec: 2 LogProb: -12.238160609204419
Palabra: abilities Frec: 4 LogProb: -11.727334985438429
Palabra: ability Frec: 40 LogProb: -9.623200831168221
Palabra: abnormal Frec: 5 LogProb: -11.545013428644474
Palabra: abnormality Frec: 1 LogProb: -12.643625717312585
Palabra: abolishes Frec: 1 LogProb: -12.643625717312585
Palabra: abony Frec: 3 LogProb: -11.95047853675264
Palabra: abour Frec: 1 LogProb: -12.643625717312585
Palabra: aboutthis Frec: 2 LogProb: -12.238160609204419
Palabra: above Frec: 116 LogProb: -8.574598963074774
Palabra: abrasion Frec: 13 LogProb: -10.697715568257271
Palabra: abrasive Frec: 28 LogProb: -9.969477067886055
Palabra: abrasives Frec: 1 LogProb: -12.643625717312585
Palabra: abri Frec: 1 LogProb: -12.643625717312585
Palabra: abro Frec: 2 LogProb: -12.238160609204419
Palabra: abroad Frec: 2 LogProb: -12.238160609204419
Palabra: abruptly Frec: 1 LogProb: -12.643625717312585
Palabra: abs Frec: 238 LogProb: -7.860309345941019
Palabra: absales Frec: 3 LogProb: -11.95047853675264
Palabra: absence Frec: 8 LogProb: -11.13954832053631
Palabra: absolute Frec: 31 LogProb: -9.871036995072803
Palabra: absolutely Frec: 49 LogProb: -9.424749892444384
Palabra: absorb Frec: 57 LogProb: -9.27632988732611
Palabra: absorbable Frec: 1 LogProb: -12.643625717312585
Palabra: absorbance Frec: 1 LogProb: -12.643625717312585
Palabra: absorbed Frec: 10 LogProb: -10.93887762507416
Palabra: absorbency Frec: 24 LogProb: -10.117897073004329
Palabra: absorbent Frec: 141 LogProb: -8.380945840271268
Palabra: absorber Frec: 14 LogProb: -10.62872269677032
Palabra: absorbia Frec: 2 LogProb: -12.238160609204419
Palabra: absorbing Frec: 11 LogProb: -10.851866248084528
Palabra: absorbs Frec: 57 LogProb: -9.27632988732611
Palabra: absorpt Frec: 1 LogProb: -12.643625717312585
Palabra: absorption Frec: 22 LogProb: -10.20127868194338
Palabra: absrobent Frec: 2 LogProb: -12.238160609204419
Palabra: abstract Frec: 31 LogProb: -9.871036995072803
Palabra: abtrix Frec: 1 LogProb: -12.643625717312585
Palabra: abundance Frec: 6 LogProb: -11.390862748817216
Palabra: abuse Frec: 4 LogProb: -11.727334985438429
Palabra: abused Frec: 1 LogProb: -12.643625717312585
Palabra: abzorb Frec: 7 LogProb: -11.257331356192694
Palabra: abzorbt Frec: 1 LogProb: -12.643625717312585
Palabra: ac Frec: 251 LogProb: -7.807343810361106
Palabra: acacia Frec: 8 LogProb: -11.13954832053631
Palabra: acaro Frec: 1 LogProb: -12.643625717312585
Palabra: accelerate Frec: 2 LogProb: -12.238160609204419
Palabra: accelerated Frec: 1 LogProb: -12.643625717312585
Palabra: accelerates Frec: 3 LogProb: -11.95047853675264
Palabra: accent Frec: 40 LogProb: -9.623200831168221
Palabra: accented Frec: 2 LogProb: -12.238160609204419
Palabra: accents Frec: 21 LogProb: -10.245730444514214
Palabra: accentuate Frec: 5 LogProb: -11.545013428644474
Palabra: accenture Frec: 1 LogProb: -12.643625717312585
Palabra: accept Frec: 2 LogProb: -12.238160609204419
Palabra: acceptable Frec: 2 LogProb: -12.238160609204419
Palabra: acceptance Frec: 3 LogProb: -11.95047853675264
Palabra: accepted Frec: 7 LogProb: -11.257331356192694
Palabra: accepting Frec: 3 LogProb: -11.95047853675264
Palabra: accepts Frec: 8 LogProb: -11.13954832053631
Palabra: access Frec: 85 LogProb: -8.88242560161902
Palabra: accessed Frec: 8 LogProb: -11.13954832053631
Palabra: accesses Frec: 1 LogProb: -12.643625717312585
Palabra: accessibility Frec: 4 LogProb: -11.727334985438429
Palabra: accessible Frec: 20 LogProb: -10.292250460149106
Palabra: accessing Frec: 4 LogProb: -11.727334985438429
Palabra: accessories Frec: 424 LogProb: -7.284683728948113
Palabra: accessoriescreate Frec: 1 LogProb: -12.643625717312585
Palabra: accessoriesnote Frec: 2 LogProb: -12.238160609204419
Palabra: accessoriesperfect Frec: 1 LogProb: -12.643625717312585
Palabra: accessorising Frec: 2 LogProb: -12.238160609204419
Palabra: accessorize Frec: 6 LogProb: -11.390862748817216
Palabra: accessory Frec: 179 LogProb: -8.14381604698232
Palabra: accezory Frec: 6 LogProb: -11.390862748817216
Palabra: accident Frec: 4 LogProb: -11.727334985438429
Palabra: accidental Frec: 13 LogProb: -10.697715568257271
Palabra: accidentally Frec: 11 LogProb: -10.851866248084528
Palabra: accidently Frec: 2 LogProb: -12.238160609204419
Palabra: accidents Frec: 24 LogProb: -10.117897073004329
Palabra: acclaimed Frec: 2 LogProb: -12.238160609204419
Palabra: accommodate Frec: 39 LogProb: -9.647893443758592
Palabra: accommodated Frec: 5 LogProb: -11.545013428644474
Palabra: accommodates Frec: 15 LogProb: -10.564184175632748
Palabra: accommodation Frec: 2 LogProb: -12.238160609204419
Palabra: accomodating Frec: 4 LogProb: -11.727334985438429
Palabra: accompanied Frec: 2 LogProb: -12.238160609204419
Palabra: accompaniment Frec: 4 LogProb: -11.727334985438429
Palabra: accompaniments Frec: 1 LogProb: -12.643625717312585
Palabra: accompany Frec: 8 LogProb: -11.13954832053631
Palabra: accomplices Frec: 1 LogProb: -12.643625717312585
Palabra: accomplish Frec: 1 LogProb: -12.643625717312585
Palabra: accomplishing Frec: 1 LogProb: -12.643625717312585
Palabra: accord Frec: 8 LogProb: -11.13954832053631
Palabra: accordance Frec: 9 LogProb: -11.034187804878483
Palabra: according Frec: 100 LogProb: -8.72165238103127
Palabra: accordingly Frec: 3 LogProb: -11.95047853675264
Palabra: accordion Frec: 5 LogProb: -11.545013428644474
Palabra: account Frec: 9 LogProb: -11.034187804878483
Palabra: accounting Frec: 1 LogProb: -12.643625717312585
Palabra: accounts Frec: 2 LogProb: -12.238160609204419
Palabra: accredited Frec: 1 LogProb: -12.643625717312585
Palabra: accross Frec: 1 LogProb: -12.643625717312585
Palabra: accu Frec: 3 LogProb: -11.95047853675264
Palabra: accumulate Frec: 8 LogProb: -11.13954832053631
Palabra: accumulated Frec: 7 LogProb: -11.257331356192694
Palabra: accumulates Frec: 3 LogProb: -11.95047853675264
Palabra: accumulating Frec: 1 LogProb: -12.643625717312585
Palabra: accumulation Frec: 2 LogProb: -12.238160609204419
Palabra: accumulations Frec: 1 LogProb: -12.643625717312585
Palabra: accupressure Frec: 1 LogProb: -12.643625717312585
Palabra: accuracy Frec: 59 LogProb: -9.242428335650429
Palabra: accurate Frec: 45 LogProb: -9.508131501383435
Palabra: accurately Frec: 12 LogProb: -10.771823540410992
Palabra: accustomed Frec: 2 LogProb: -12.238160609204419
Palabra: ace Frec: 28 LogProb: -9.969477067886055
Palabra: acessories Frec: 1 LogProb: -12.643625717312585
Palabra: acetate Frec: 5 LogProb: -11.545013428644474
Palabra: acetylene Frec: 2 LogProb: -12.238160609204419
Palabra: acgc Frec: 1 LogProb: -12.643625717312585
Palabra: acheive Frec: 2 LogProb: -12.238160609204419
Palabra: aches Frec: 4 LogProb: -11.727334985438429
Palabra: achieve Frec: 34 LogProb: -9.781424836383115
Palabra: achieved Frec: 8 LogProb: -11.13954832053631
Palabra: achievement Frec: 5 LogProb: -11.545013428644474
Palabra: achieves Frec: 2 LogProb: -12.238160609204419
Palabra: achieving Frec: 4 LogProb: -11.727334985438429
Palabra: aching Frec: 7 LogProb: -11.257331356192694
Palabra: achive Frec: 1 LogProb: -12.643625717312585
Palabra: acid Frec: 27 LogProb: -10.004568387697326
Palabra: acide Frec: 1 LogProb: -12.643625717312585
Palabra: acidic Frec: 5 LogProb: -11.545013428644474
Palabra: acids Frec: 6 LogProb: -11.390862748817216
Palabra: aciproof Frec: 1 LogProb: -12.643625717312585
Palabra: acknowledge Frec: 3 LogProb: -11.95047853675264
Palabra: acknowledged Frec: 12 LogProb: -10.771823540410992
Palabra: acm Frec: 1 LogProb: -12.643625717312585
Palabra: acne Frec: 1 LogProb: -12.643625717312585
Palabra: aco Frec: 3 LogProb: -11.95047853675264
Palabra: acorus Frec: 1 LogProb: -12.643625717312585
Palabra: acoustic Frec: 7 LogProb: -11.257331356192694
Palabra: acoustics Frec: 1 LogProb: -12.643625717312585
Palabra: acquire Frec: 2 LogProb: -12.238160609204419
Palabra: acquired Frec: 5 LogProb: -11.545013428644474
Palabra: acr Frec: 1 LogProb: -12.643625717312585
Palabra: acrated Frec: 1 LogProb: -12.643625717312585
Palabra: acre Frec: 1 LogProb: -12.643625717312585
Palabra: acres Frec: 1 LogProb: -12.643625717312585
Palabra: acrlyic Frec: 1 LogProb: -12.643625717312585
Palabra: acrobat Frec: 1 LogProb: -12.643625717312585
Palabra: acronym Frec: 1 LogProb: -12.643625717312585
Palabra: acrostics Frec: 1 LogProb: -12.643625717312585
Palabra: acrylic Frec: 139 LogProb: -8.395130475263224
Palabra: acrylics Frec: 6 LogProb: -11.390862748817216
Palabra: acrylonitrile Frec: 5 LogProb: -11.545013428644474
Palabra: acs Frec: 7 LogProb: -11.257331356192694
Palabra: act Frec: 20 LogProb: -10.292250460149106
Palabra: actc Frec: 1 LogProb: -12.643625717312585
Palabra: acting Frec: 2 LogProb: -12.238160609204419
Palabra: action Frec: 63 LogProb: -9.177889814512858
Palabra: actions Frec: 2 LogProb: -12.238160609204419
Palabra: activate Frec: 13 LogProb: -10.697715568257271
Palabra: activated Frec: 54 LogProb: -9.329439712640058
Palabra: activates Frec: 3 LogProb: -11.95047853675264
Palabra: activation Frec: 4 LogProb: -11.727334985438429
Palabra: active Frec: 23 LogProb: -10.158719067524583
Palabra: actively Frec: 1 LogProb: -12.643625717312585
Palabra: activewater Frec: 1 LogProb: -12.643625717312585
Palabra: activities Frec: 58 LogProb: -9.25923545396681
Palabra: activitiesspecification Frec: 1 LogProb: -12.643625717312585
Palabra: activity Frec: 26 LogProb: -10.0409360318682
Palabra: acts Frec: 25 LogProb: -10.078676359851048
Palabra: actual Frec: 107 LogProb: -8.65464167074831
Palabra: actually Frec: 23 LogProb: -10.158719067524583
Palabra: acupressure Frec: 6 LogProb: -11.390862748817216
Palabra: acupuncture Frec: 3 LogProb: -11.95047853675264
Palabra: acura Frec: 2 LogProb: -12.238160609204419
Palabra: acurite Frec: 4 LogProb: -11.727334985438429
Palabra: acute Frec: 2 LogProb: -12.238160609204419
Palabra: ad Frec: 6 LogProb: -11.390862748817216
Palabra: ada Frec: 3 LogProb: -11.95047853675264
Palabra: adam Frec: 1 LogProb: -12.643625717312585
Palabra: adapt Frec: 12 LogProb: -10.771823540410992
Palabra: adaptable Frec: 3 LogProb: -11.95047853675264
Palabra: adaptation Frec: 1 LogProb: -12.643625717312585
Palabra: adapted Frec: 5 LogProb: -11.545013428644474
Palabra: adapter Frec: 92 LogProb: -8.804173404719274
Palabra: adapters Frec: 4 LogProb: -11.727334985438429
Palabra: adapting Frec: 1 LogProb: -12.643625717312585
Palabra: adaption Frec: 2 LogProb: -12.238160609204419
Palabra: adaptive Frec: 3 LogProb: -11.95047853675264
Palabra: adaptor Frec: 18 LogProb: -10.39233391870609
Palabra: adapts Frec: 5 LogProb: -11.545013428644474
Palabra: add Frec: 483 LogProb: -7.154687991155898
Palabra: added Frec: 103 LogProb: -8.692381998731157
Palabra: addiction Frec: 1 LogProb: -12.643625717312585
Palabra: addictive Frec: 1 LogProb: -12.643625717312585
Palabra: addicts Frec: 1 LogProb: -12.643625717312585
Palabra: adding Frec: 92 LogProb: -8.804173404719274
Palabra: addition Frec: 236 LogProb: -7.8687127567373985
Palabra: additional Frec: 106 LogProb: -8.663944063410623
Palabra: additionally Frec: 38 LogProb: -9.673211251742883
Palabra: additions Frec: 6 LogProb: -11.390862748817216
Palabra: additive Frec: 1 LogProb: -12.643625717312585
Palabra: additives Frec: 16 LogProb: -10.503559553816313
Palabra: address Frec: 32 LogProb: -9.840265336406048
Palabra: addresses Frec: 3 LogProb: -11.95047853675264
Palabra: addressmobile Frec: 1 LogProb: -12.643625717312585
Palabra: adds Frec: 162 LogProb: -8.243022697065767
Palabra: addtional Frec: 1 LogProb: -12.643625717312585
Palabra: adele Frec: 1 LogProb: -12.643625717312585
Palabra: adeline Frec: 1 LogProb: -12.643625717312585
Palabra: adenosine Frec: 1 LogProb: -12.643625717312585
Palabra: adequate Frec: 18 LogProb: -10.39233391870609
Palabra: adequately Frec: 1 LogProb: -12.643625717312585
Palabra: adhere Frec: 12 LogProb: -10.771823540410992
Palabra: adhered Frec: 5 LogProb: -11.545013428644474
Palabra: adherence Frec: 4 LogProb: -11.727334985438429
Palabra: adheres Frec: 5 LogProb: -11.545013428644474
Palabra: adhering Frec: 4 LogProb: -11.727334985438429
Palabra: adhesion Frec: 10 LogProb: -10.93887762507416
Palabra: adhesive Frec: 178 LogProb: -8.149387092031775
Palabra: adhesiveness Frec: 3 LogProb: -11.95047853675264
Palabra: adhesives Frec: 5 LogProb: -11.545013428644474
Palabra: adinfinitum Frec: 2 LogProb: -12.238160609204419
Palabra: adisa Frec: 1 LogProb: -12.643625717312585
Palabra: aditi Frec: 2 LogProb: -12.238160609204419
Palabra: aditya Frec: 2 LogProb: -12.238160609204419
Palabra: adjacent Frec: 2 LogProb: -12.238160609204419
Palabra: adjuestable Frec: 1 LogProb: -12.643625717312585
Palabra: adjust Frec: 94 LogProb: -8.782896006271988
Palabra: adjustabable Frec: 1 LogProb: -12.643625717312585
Palabra: adjustable Frec: 274 LogProb: -7.720001800205958
Palabra: adjusted Frec: 31 LogProb: -9.871036995072803
Palabra: adjuster Frec: 7 LogProb: -11.257331356192694
Palabra: adjusternononospool Frec: 1 LogProb: -12.643625717312585
Palabra: adjustible Frec: 1 LogProb: -12.643625717312585
Palabra: adjusting Frec: 19 LogProb: -10.341040624318538
Palabra: adjustment Frec: 56 LogProb: -9.293721630037979
Palabra: adjustments Frec: 9 LogProb: -11.034187804878483
Palabra: adjustor Frec: 1 LogProb: -12.643625717312585
Palabra: adjustorcaliberatedcaliberatedcaliberateddrop Frec: 1 LogProb: -12.643625717312585
Palabra: adjusts Frec: 18 LogProb: -10.39233391870609
Palabra: administration Frec: 10 LogProb: -10.93887762507416
Palabra: admirable Frec: 3 LogProb: -11.95047853675264
Palabra: admiration Frec: 1 LogProb: -12.643625717312585
Palabra: admire Frec: 5 LogProb: -11.545013428644474
Palabra: admired Frec: 10 LogProb: -10.93887762507416
Palabra: adonai Frec: 6 LogProb: -11.390862748817216
Palabra: adoniz Frec: 1 LogProb: -12.643625717312585
Palabra: adopt Frec: 9 LogProb: -11.034187804878483
Palabra: adopted Frec: 10 LogProb: -10.93887762507416
Palabra: adopting Frec: 7 LogProb: -11.257331356192694
Palabra: adopts Frec: 7 LogProb: -11.257331356192694
Palabra: adora Frec: 1 LogProb: -12.643625717312585
Palabra: adorable Frec: 34 LogProb: -9.781424836383115
Palabra: adore Frec: 2 LogProb: -12.238160609204419
Palabra: adorn Frec: 16 LogProb: -10.503559553816313
Palabra: adorned Frec: 5 LogProb: -11.545013428644474
Palabra: adorning Frec: 2 LogProb: -12.238160609204419
Palabra: adornment Frec: 6 LogProb: -11.390862748817216
Palabra: adornments Frec: 1 LogProb: -12.643625717312585
Palabra: adorns Frec: 2 LogProb: -12.238160609204419
Palabra: adpater Frec: 2 LogProb: -12.238160609204419
Palabra: adrenaline Frec: 1 LogProb: -12.643625717312585
Palabra: adroit Frec: 1 LogProb: -12.643625717312585
Palabra: ads Frec: 2 LogProb: -12.238160609204419
Palabra: adsl Frec: 1 LogProb: -12.643625717312585
Palabra: adsorb Frec: 4 LogProb: -11.727334985438429
Palabra: adsorbing Frec: 1 LogProb: -12.643625717312585
Palabra: adsorbs Frec: 2 LogProb: -12.238160609204419
Palabra: adsorption Frec: 2 LogProb: -12.238160609204419
Palabra: adtala Frec: 1 LogProb: -12.643625717312585
Palabra: adult Frec: 26 LogProb: -10.0409360318682
Palabra: adulterated Frec: 2 LogProb: -12.238160609204419
Palabra: adultfitted Frec: 1 LogProb: -12.643625717312585
Palabra: adults Frec: 73 LogProb: -9.032707804668359
Palabra: advance Frec: 44 LogProb: -9.53011040810221
Palabra: advanced Frec: 119 LogProb: -8.549281155090483
Palabra: advancelevel Frec: 1 LogProb: -12.643625717312585
Palabra: advancement Frec: 2 LogProb: -12.238160609204419
Palabra: advantage Frec: 44 LogProb: -9.53011040810221
Palabra: advantages Frec: 22 LogProb: -10.20127868194338
Palabra: advantageworld Frec: 6 LogProb: -11.390862748817216
Palabra: adventure Frec: 11 LogProb: -10.851866248084528
Palabra: adventurer Frec: 1 LogProb: -12.643625717312585
Palabra: adventures Frec: 6 LogProb: -11.390862748817216
Palabra: adventurous Frec: 2 LogProb: -12.238160609204419
Palabra: adverse Frec: 5 LogProb: -11.545013428644474
Palabra: advertisement Frec: 2 LogProb: -12.238160609204419
Palabra: advertisements Frec: 1 LogProb: -12.643625717312585
Palabra: advertising Frec: 6 LogProb: -11.390862748817216
Palabra: advice Frec: 5 LogProb: -11.545013428644474
Palabra: advisable Frec: 20 LogProb: -10.292250460149106
Palabra: advise Frec: 2 LogProb: -12.238160609204419
Palabra: advised Frec: 15 LogProb: -10.564184175632748
Palabra: advisory Frec: 1 LogProb: -12.643625717312585
Palabra: advocacy Frec: 3 LogProb: -11.95047853675264
Palabra: advocate Frec: 1 LogProb: -12.643625717312585
Palabra: advoid Frec: 1 LogProb: -12.643625717312585
Palabra: ae Frec: 3 LogProb: -11.95047853675264
Palabra: aebleskivers Frec: 1 LogProb: -12.643625717312585
Palabra: aerasense Frec: 5 LogProb: -11.545013428644474
Palabra: aerate Frec: 3 LogProb: -11.95047853675264
Palabra: aerates Frec: 1 LogProb: -12.643625717312585
Palabra: aerating Frec: 4 LogProb: -11.727334985438429
Palabra: aeration Frec: 1 LogProb: -12.643625717312585
Palabra: aerator Frec: 14 LogProb: -10.62872269677032
Palabra: aerators Frec: 1 LogProb: -12.643625717312585
Palabra: aero Frec: 12 LogProb: -10.771823540410992
Palabra: aerobic Frec: 1 LogProb: -12.643625717312585
Palabra: aerodynamic Frec: 16 LogProb: -10.503559553816313
Palabra: aerodynamically Frec: 12 LogProb: -10.771823540410992
Palabra: aeroforce Frec: 1 LogProb: -12.643625717312585
Palabra: aerofresh Frec: 3 LogProb: -11.95047853675264
Palabra: aerohaven Frec: 4 LogProb: -11.727334985438429
Palabra: aeroplane Frec: 2 LogProb: -12.238160609204419
Palabra: aerosense Frec: 1 LogProb: -12.643625717312585
Palabra: aeroseries Frec: 2 LogProb: -12.238160609204419
Palabra: aeroslim Frec: 10 LogProb: -10.93887762507416
Palabra: aerosol Frec: 17 LogProb: -10.446401139976365
Palabra: aerosols Frec: 1 LogProb: -12.643625717312585
Palabra: aerospace Frec: 4 LogProb: -11.727334985438429
Palabra: aerostar Frec: 6 LogProb: -11.390862748817216
Palabra: aerostorm Frec: 2 LogProb: -12.238160609204419
Palabra: aerovac Frec: 3 LogProb: -11.95047853675264
Palabra: aertex Frec: 2 LogProb: -12.238160609204419
Palabra: aesthetic Frec: 46 LogProb: -9.48662529616247
Palabra: aesthetically Frec: 38 LogProb: -9.673211251742883
Palabra: aestheticity Frec: 1 LogProb: -12.643625717312585
Palabra: aesthetics Frec: 47 LogProb: -9.46557188696464
Palabra: afar Frec: 1 LogProb: -12.643625717312585
Palabra: afast Frec: 1 LogProb: -12.643625717312585
Palabra: affair Frec: 23 LogProb: -10.158719067524583
Palabra: affairs Frec: 7 LogProb: -11.257331356192694
Palabra: affect Frec: 15 LogProb: -10.564184175632748
Palabra: affected Frec: 6 LogProb: -11.390862748817216
Palabra: affecting Frec: 5 LogProb: -11.545013428644474
Palabra: affection Frec: 3 LogProb: -11.95047853675264
Palabra: affective Frec: 1 LogProb: -12.643625717312585
Palabra: affects Frec: 1 LogProb: -12.643625717312585
Palabra: affiliated Frec: 2 LogProb: -12.238160609204419
