Número de documentos del corpus: 3176
Número de palabras del corpus: 280067
Palabra: UNK Frec: 0 LogProb: -12.693974516350742
Palabra: aa Frec: 7 LogProb: -10.614532974670906
Palabra: aaa Frec: 3 LogProb: -11.307680155230852
Palabra: aaar Frec: 1 LogProb: -12.000827335790797
Palabra: aaas Frec: 1 LogProb: -12.000827335790797
Palabra: aadhunik Frec: 1 LogProb: -12.000827335790797
Palabra: aadmi Frec: 1 LogProb: -12.000827335790797
Palabra: aai Frec: 1 LogProb: -12.000827335790797
Palabra: aakash Frec: 1 LogProb: -12.000827335790797
Palabra: aam Frec: 1 LogProb: -12.000827335790797
Palabra: aandhi Frec: 1 LogProb: -12.000827335790797
Palabra: aanya Frec: 1 LogProb: -12.000827335790797
Palabra: aao Frec: 3 LogProb: -11.307680155230852
Palabra: aar Frec: 1 LogProb: -12.000827335790797
Palabra: aarfa Frec: 1 LogProb: -12.000827335790797
Palabra: aaron Frec: 3 LogProb: -11.307680155230852
Palabra: aaronovitch Frec: 3 LogProb: -11.307680155230852
Palabra: aart Frec: 2 LogProb: -11.595362227682633
Palabra: aarti Frec: 3 LogProb: -11.307680155230852
Palabra: aas Frec: 1 LogProb: -12.000827335790797
Palabra: aashiqui Frec: 1 LogProb: -12.000827335790797
Palabra: aashto Frec: 1 LogProb: -12.000827335790797
Palabra: aavishkar Frec: 1 LogProb: -12.000827335790797
Palabra: ab Frec: 9 LogProb: -10.391389423356697
Palabra: aba Frec: 4 LogProb: -11.084536603916643
Palabra: abandon Frec: 1 LogProb: -12.000827335790797
Palabra: abandoned Frec: 7 LogProb: -10.614532974670906
Palabra: abandoning Frec: 1 LogProb: -12.000827335790797
Palabra: abandons Frec: 1 LogProb: -12.000827335790797
Palabra: abap Frec: 1 LogProb: -12.000827335790797
Palabra: abba Frec: 1 LogProb: -12.000827335790797
Palabra: abbasi Frec: 1 LogProb: -12.000827335790797
Palabra: abbasid Frec: 1 LogProb: -12.000827335790797
Palabra: abbott Frec: 5 LogProb: -10.902215047122688
Palabra: abbreviation Frec: 1 LogProb: -12.000827335790797
Palabra: abbreviations Frec: 1 LogProb: -12.000827335790797
Palabra: abby Frec: 3 LogProb: -11.307680155230852
Palabra: abc Frec: 17 LogProb: -9.803602758454579
Palabra: abcs Frec: 3 LogProb: -11.307680155230852
Palabra: abd Frec: 1 LogProb: -12.000827335790797
Palabra: abdool Frec: 1 LogProb: -12.000827335790797
Palabra: abdul Frec: 8 LogProb: -10.496749939014524
Palabra: abec Frec: 1 LogProb: -12.000827335790797
Palabra: abel Frec: 9 LogProb: -10.391389423356697
Palabra: aberdeen Frec: 1 LogProb: -12.000827335790797
Palabra: aberystwyth Frec: 1 LogProb: -12.000827335790797
Palabra: abha Frec: 1 LogProb: -12.000827335790797
Palabra: abhi Frec: 1 LogProb: -12.000827335790797
Palabra: abhijeet Frec: 1 LogProb: -12.000827335790797
Palabra: abhinav Frec: 2 LogProb: -11.595362227682633
Palabra: abhishek Frec: 5 LogProb: -10.902215047122688
Palabra: abhivriti Frec: 1 LogProb: -12.000827335790797
Palabra: abhiyanta Frec: 1 LogProb: -12.000827335790797
Palabra: abhor Frec: 1 LogProb: -12.000827335790797
Palabra: abhorrence Frec: 1 LogProb: -12.000827335790797
Palabra: abide Frec: 1 LogProb: -12.000827335790797
Palabra: abided Frec: 1 LogProb: -12.000827335790797
Palabra: abiding Frec: 1 LogProb: -12.000827335790797
Palabra: abie Frec: 3 LogProb: -11.307680155230852
Palabra: abigail Frec: 6 LogProb: -10.748064367295429
Palabra: abilities Frec: 9 LogProb: -10.391389423356697
Palabra: ability Frec: 87 LogProb: -8.216637701872536
Palabra: abject Frec: 1 LogProb: -12.000827335790797
Palabra: abjection Frec: 1 LogProb: -12.000827335790797
Palabra: abled Frec: 1 LogProb: -12.000827335790797
Palabra: abnormal Frec: 4 LogProb: -11.084536603916643
Palabra: aboard Frec: 5 LogProb: -10.902215047122688
Palabra: abode Frec: 1 LogProb: -12.000827335790797
Palabra: abolished Frec: 1 LogProb: -12.000827335790797
Palabra: aboriginal Frec: 1 LogProb: -12.000827335790797
Palabra: abortion Frec: 15 LogProb: -9.92138579411096
Palabra: abortions Frec: 1 LogProb: -12.000827335790797
Palabra: above Frec: 55 LogProb: -8.668622825615593
Palabra: abovea Frec: 1 LogProb: -12.000827335790797
Palabra: aboveideal Frec: 1 LogProb: -12.000827335790797
Palabra: abpp Frec: 1 LogProb: -12.000827335790797
Palabra: abraham Frec: 8 LogProb: -10.496749939014524
Palabra: abrahams Frec: 1 LogProb: -12.000827335790797
Palabra: abrams Frec: 2 LogProb: -11.595362227682633
Palabra: abreast Frec: 2 LogProb: -11.595362227682633
Palabra: abridged Frec: 5 LogProb: -10.902215047122688
Palabra: abridgement Frec: 1 LogProb: -12.000827335790797
Palabra: abridgment Frec: 2 LogProb: -11.595362227682633
Palabra: abridgments Frec: 1 LogProb: -12.000827335790797
Palabra: abroad Frec: 20 LogProb: -9.64945207862732
Palabra: abruptly Frec: 1 LogProb: -12.000827335790797
Palabra: abruzzi Frec: 6 LogProb: -10.748064367295429
Palabra: abs Frec: 5 LogProb: -10.902215047122688
Palabra: absence Frec: 5 LogProb: -10.902215047122688
Palabra: absent Frec: 3 LogProb: -11.307680155230852
Palabra: absolute Frec: 12 LogProb: -10.129025158889206
Palabra: absolutely Frec: 30 LogProb: -9.259987311865597
Palabra: absolutism Frec: 1 LogProb: -12.000827335790797
Palabra: absolutist Frec: 1 LogProb: -12.000827335790797
Palabra: absorb Frec: 6 LogProb: -10.748064367295429
Palabra: absorbed Frec: 4 LogProb: -11.084536603916643
Palabra: absorbent Frec: 1 LogProb: -12.000827335790797
Palabra: absorbing Frec: 20 LogProb: -9.64945207862732
Palabra: absorbs Frec: 4 LogProb: -11.084536603916643
Palabra: abstract Frec: 2 LogProb: -11.595362227682633
Palabra: absurd Frec: 5 LogProb: -10.902215047122688
Palabra: absurdities Frec: 1 LogProb: -12.000827335790797
Palabra: absurdity Frec: 1 LogProb: -12.000827335790797
Palabra: absurdly Frec: 1 LogProb: -12.000827335790797
Palabra: abt Frec: 2 LogProb: -11.595362227682633
Palabra: abta Frec: 1 LogProb: -12.000827335790797
Palabra: abu Frec: 2 LogProb: -11.595362227682633
Palabra: abubaker Frec: 1 LogProb: -12.000827335790797
Palabra: abuela Frec: 2 LogProb: -11.595362227682633
Palabra: abul Frec: 1 LogProb: -12.000827335790797
Palabra: abundance Frec: 6 LogProb: -10.748064367295429
Palabra: abundant Frec: 3 LogProb: -11.307680155230852
Palabra: abundantly Frec: 1 LogProb: -12.000827335790797
Palabra: abuse Frec: 8 LogProb: -10.496749939014524
Palabra: abuses Frec: 4 LogProb: -11.084536603916643
Palabra: abusive Frec: 1 LogProb: -12.000827335790797
Palabra: abyssinia Frec: 1 LogProb: -12.000827335790797
Palabra: ac Frec: 3 LogProb: -11.307680155230852
Palabra: academia Frec: 5 LogProb: -10.902215047122688
Palabra: academic Frec: 93 LogProb: -8.15067973408074
Palabra: academically Frec: 1 LogProb: -12.000827335790797
Palabra: academician Frec: 4 LogProb: -11.084536603916643
Palabra: academicians Frec: 1 LogProb: -12.000827335790797
Palabra: academics Frec: 7 LogProb: -10.614532974670906
Palabra: academies Frec: 4 LogProb: -11.084536603916643
Palabra: academy Frec: 75 LogProb: -8.363241176064411
Palabra: acadia Frec: 2 LogProb: -11.595362227682633
Palabra: accelerate Frec: 1 LogProb: -12.000827335790797
Palabra: accelerated Frec: 2 LogProb: -11.595362227682633
Palabra: accelerating Frec: 3 LogProb: -11.307680155230852
Palabra: acceleration Frec: 1 LogProb: -12.000827335790797
Palabra: accelerator Frec: 4 LogProb: -11.084536603916643
Palabra: accent Frec: 10 LogProb: -10.296079243552372
Palabra: accents Frec: 1 LogProb: -12.000827335790797
Palabra: accenture Frec: 2 LogProb: -11.595362227682633
Palabra: accept Frec: 15 LogProb: -9.92138579411096
Palabra: acceptable Frec: 1 LogProb: -12.000827335790797
Palabra: acceptance Frec: 17 LogProb: -9.803602758454579
Palabra: accepted Frec: 13 LogProb: -10.054917186735484
Palabra: accepting Frec: 4 LogProb: -11.084536603916643
Palabra: access Frec: 55 LogProb: -8.668622825615593
Palabra: accessed Frec: 2 LogProb: -11.595362227682633
Palabra: accesses Frec: 1 LogProb: -12.000827335790797
Palabra: accessib Frec: 1 LogProb: -12.000827335790797
Palabra: accessibility Frec: 4 LogProb: -11.084536603916643
Palabra: accessible Frec: 85 LogProb: -8.239627220097235
Palabra: accession Frec: 1 LogProb: -12.000827335790797
Palabra: accessories Frec: 18 LogProb: -9.749535537184302
Palabra: accessory Frec: 3 LogProb: -11.307680155230852
Palabra: accident Frec: 10 LogProb: -10.296079243552372
Palabra: accidentally Frec: 5 LogProb: -10.902215047122688
Palabra: accidentmodern Frec: 1 LogProb: -12.000827335790797
Palabra: accidents Frec: 3 LogProb: -11.307680155230852
Palabra: acclaim Frec: 5 LogProb: -10.902215047122688
Palabra: acclaimed Frec: 55 LogProb: -8.668622825615593
Palabra: acclimated Frec: 2 LogProb: -11.595362227682633
Palabra: accolades Frec: 4 LogProb: -11.084536603916643
Palabra: accommodate Frec: 5 LogProb: -10.902215047122688
Palabra: accompanied Frec: 12 LogProb: -10.129025158889206
Palabra: accompany Frec: 4 LogProb: -11.084536603916643
Palabra: accompanying Frec: 6 LogProb: -10.748064367295429
Palabra: accomplish Frec: 6 LogProb: -10.748064367295429
Palabra: accomplished Frec: 35 LogProb: -9.110455577894633
Palabra: accomplishedclimber Frec: 2 LogProb: -11.595362227682633
