Número de documentos del corpus: 2869
Número de palabras del corpus: 157059
Palabra: UNK Frec: 0 LogProb: -12.219832542446358
Palabra: aa Frec: 1 LogProb: -11.526685361886413
Palabra: aadi Frec: 1 LogProb: -11.526685361886413
Palabra: aaiffel Frec: 1 LogProb: -11.526685361886413
Palabra: aakrithi Frec: 10 LogProb: -9.821937269647988
Palabra: aania Frec: 1 LogProb: -11.526685361886413
Palabra: aaram Frec: 1 LogProb: -11.526685361886413
Palabra: aarbee Frec: 5 LogProb: -10.428073073218304
Palabra: aari Frec: 1 LogProb: -11.526685361886413
Palabra: aarika Frec: 3 LogProb: -10.833538181326468
Palabra: aasa Frec: 3 LogProb: -10.833538181326468
Palabra: aashirya Frec: 2 LogProb: -11.12122025377825
Palabra: aattractive Frec: 2 LogProb: -11.12122025377825
Palabra: abarata Frec: 1 LogProb: -11.526685361886413
Palabra: abaya Frec: 36 LogProb: -8.608914629802134
Palabra: abayas Frec: 2 LogProb: -11.12122025377825
Palabra: abd Frec: 2 LogProb: -11.12122025377825
Palabra: abdomen Frec: 18 LogProb: -9.275393563279918
Palabra: abdominal Frec: 14 LogProb: -9.51178234134415
Palabra: abe Frec: 2 LogProb: -11.12122025377825
Palabra: abhaya Frec: 1 LogProb: -11.526685361886413
Palabra: abhi Frec: 26 LogProb: -8.92399567644203
Palabra: ability Frec: 7 LogProb: -10.140391000766524
Palabra: abiti Frec: 1 LogProb: -11.526685361886413
Palabra: abito Frec: 4 LogProb: -10.610394630012259
Palabra: above Frec: 63 LogProb: -8.060949459086688
Palabra: abrasion Frec: 2 LogProb: -11.12122025377825
Palabra: abroad Frec: 3 LogProb: -10.833538181326468
Palabra: abs Frec: 2 LogProb: -11.12122025377825
Palabra: absolute Frec: 11 LogProb: -9.734925892658358
Palabra: absolutely Frec: 15 LogProb: -9.447243820206578
Palabra: absorb Frec: 10 LogProb: -9.821937269647988
Palabra: absorbency Frec: 3 LogProb: -10.833538181326468
Palabra: absorbent Frec: 36 LogProb: -8.608914629802134
Palabra: absorbing Frec: 21 LogProb: -9.128790089088042
Palabra: absorbs Frec: 15 LogProb: -9.447243820206578
Palabra: absorption Frec: 9 LogProb: -9.917247449452313
Palabra: abstract Frec: 3 LogProb: -10.833538181326468
Palabra: abx Frec: 1 LogProb: -11.526685361886413
Palabra: accelerate Frec: 1 LogProb: -11.526685361886413
Palabra: accelerates Frec: 1 LogProb: -11.526685361886413
Palabra: acceleration Frec: 1 LogProb: -11.526685361886413
Palabra: accent Frec: 4 LogProb: -10.610394630012259
Palabra: accenting Frec: 1 LogProb: -11.526685361886413
Palabra: accents Frec: 1 LogProb: -11.526685361886413
Palabra: accentuate Frec: 3 LogProb: -10.833538181326468
Palabra: accentuated Frec: 3 LogProb: -10.833538181326468
Palabra: accentuates Frec: 1 LogProb: -11.526685361886413
Palabra: accept Frec: 1 LogProb: -11.526685361886413
Palabra: acceptable Frec: 4 LogProb: -10.610394630012259
Palabra: accepted Frec: 2 LogProb: -11.12122025377825
Palabra: access Frec: 17 LogProb: -9.329460784550195
Palabra: accessible Frec: 1 LogProb: -11.526685361886413
Palabra: accessories Frec: 3020 LogProb: -4.206489361059687
Palabra: accessoriesoccasion Frec: 1 LogProb: -11.526685361886413
Palabra: accessorise Frec: 1 LogProb: -11.526685361886413
Palabra: accessorize Frec: 10 LogProb: -9.821937269647988
Palabra: accessory Frec: 82 LogProb: -7.800991934649761
Palabra: acclaimed Frec: 1 LogProb: -11.526685361886413
Palabra: accommodate Frec: 6 LogProb: -10.273922393391045
Palabra: accommodating Frec: 2 LogProb: -11.12122025377825
