Número de documentos del corpus: 2731
Número de palabras del corpus: 242857
Palabra: UNK Frec: 0 LogProb: -12.572689504445076
Palabra: aa Frec: 45 LogProb: -8.744048107955981
Palabra: aaa Frec: 28 LogProb: -9.205393674458602
Palabra: aaabattery Frec: 1 LogProb: -11.879542323885131
Palabra: aac Frec: 24 LogProb: -9.353813679576875
Palabra: aadhaar Frec: 4 LogProb: -10.963251592010977
Palabra: aadhar Frec: 1 LogProb: -11.879542323885131
Palabra: aassembly Frec: 1 LogProb: -11.879542323885131
Palabra: aaux Frec: 1 LogProb: -11.879542323885131
Palabra: ab Frec: 9 LogProb: -10.270104411451031
Palabra: abandon Frec: 1 LogProb: -11.879542323885131
Palabra: abb Frec: 2 LogProb: -11.474077215776967
Palabra: abbe Frec: 1 LogProb: -11.879542323885131
Palabra: abc Frec: 2 LogProb: -11.474077215776967
Palabra: abdul Frec: 1 LogProb: -11.879542323885131
Palabra: aberration Frec: 4 LogProb: -10.963251592010977
Palabra: aberrations Frec: 1 LogProb: -11.879542323885131
Palabra: abigail Frec: 1 LogProb: -11.879542323885131
Palabra: abilities Frec: 2 LogProb: -11.474077215776967
Palabra: ability Frec: 30 LogProb: -9.138702299959931
Palabra: ableconn Frec: 3 LogProb: -11.186395143325186
Palabra: abound Frec: 1 LogProb: -11.879542323885131
Palabra: aboutthefit Frec: 2 LogProb: -11.474077215776967
Palabra: above Frec: 94 LogProb: -8.018812612844537
Palabra: aboveled Frec: 2 LogProb: -11.474077215776967
Palabra: abrasion Frec: 6 LogProb: -10.626779355389763
Palabra: abrasives Frec: 1 LogProb: -11.879542323885131
Palabra: abro Frec: 1 LogProb: -11.879542323885131
Palabra: abroad Frec: 2 LogProb: -11.474077215776967
Palabra: abs Frec: 59 LogProb: -8.478344942222975
Palabra: absactual Frec: 1 LogProb: -11.879542323885131
Palabra: abscolour Frec: 1 LogProb: -11.879542323885131
Palabra: abscompatibility Frec: 1 LogProb: -11.879542323885131
Palabra: absence Frec: 2 LogProb: -11.474077215776967
Palabra: absent Frec: 1 LogProb: -11.879542323885131
Palabra: absolute Frec: 10 LogProb: -10.174794231646706
Palabra: absolutely Frec: 7 LogProb: -10.49324796276524
Palabra: absorb Frec: 5 LogProb: -10.780930035217022
Palabra: absorbed Frec: 1 LogProb: -11.879542323885131
Palabra: absorbency Frec: 2 LogProb: -11.474077215776967
Palabra: absorbing Frec: 5 LogProb: -10.780930035217022
Palabra: absorbs Frec: 8 LogProb: -10.375464927108856
Palabra: absorption Frec: 7 LogProb: -10.49324796276524
Palabra: absorptive Frec: 1 LogProb: -11.879542323885131
Palabra: absplusmetal Frec: 1 LogProb: -11.879542323885131
Palabra: absproduct Frec: 1 LogProb: -11.879542323885131
Palabra: abstract Frec: 1 LogProb: -11.879542323885131
Palabra: abundance Frec: 1 LogProb: -11.879542323885131
Palabra: abundant Frec: 4 LogProb: -10.963251592010977
