Número de documentos del corpus: 5222
Número de palabras del corpus: 392639
Palabra: UNK Frec: 0 LogProb: -12.99077523829621
Palabra: aa Frec: 37 LogProb: -9.353189078569825
Palabra: aaa Frec: 21 LogProb: -9.899732784937894
Palabra: aadhya Frec: 3 LogProb: -11.60448087717632
Palabra: aadi Frec: 1 LogProb: -12.297628057736265
Palabra: aadmora Frec: 1 LogProb: -12.297628057736265
Palabra: aadvay Frec: 2 LogProb: -11.8921629496281
Palabra: aai Frec: 2 LogProb: -11.8921629496281
Palabra: aalim Frec: 1 LogProb: -12.297628057736265
Palabra: aam Frec: 3 LogProb: -11.60448087717632
Palabra: aamazing Frec: 1 LogProb: -12.297628057736265
Palabra: aameria Frec: 1 LogProb: -12.297628057736265
Palabra: aandwiches Frec: 1 LogProb: -12.297628057736265
Palabra: aanya Frec: 1 LogProb: -12.297628057736265
Palabra: aanyacentric Frec: 1 LogProb: -12.297628057736265
Palabra: aaram Frec: 3 LogProb: -11.60448087717632
Palabra: aari Frec: 2 LogProb: -11.8921629496281
Palabra: aarka Frec: 2 LogProb: -11.8921629496281
Palabra: aarsun Frec: 13 LogProb: -10.351717908680952
Palabra: aart Frec: 6 LogProb: -11.044865089240897
Palabra: aarti Frec: 4 LogProb: -11.381337325862109
Palabra: aashi Frec: 4 LogProb: -11.381337325862109
Palabra: aata Frec: 1 LogProb: -12.297628057736265
Palabra: ab Frec: 4 LogProb: -11.381337325862109
Palabra: abc Frec: 4 LogProb: -11.381337325862109
Palabra: abee Frec: 1 LogProb: -12.297628057736265
Palabra: aberration Frec: 2 LogProb: -11.8921629496281
Palabra: abhista Frec: 1 LogProb: -12.297628057736265
Palabra: abhiyaan Frec: 3 LogProb: -11.60448087717632
Palabra: abilities Frec: 3 LogProb: -11.60448087717632
Palabra: ability Frec: 26 LogProb: -9.694938372291881
Palabra: abnormal Frec: 5 LogProb: -11.199015769068154
Palabra: abnormality Frec: 1 LogProb: -12.297628057736265
Palabra: abony Frec: 3 LogProb: -11.60448087717632
Palabra: aboutthis Frec: 1 LogProb: -12.297628057736265
Palabra: above Frec: 78 LogProb: -8.621327385829188
Palabra: abrasion Frec: 5 LogProb: -11.199015769068154
Palabra: abrasive Frec: 25 LogProb: -9.732678700274729
Palabra: abrasives Frec: 1 LogProb: -12.297628057736265
Palabra: abroad Frec: 1 LogProb: -12.297628057736265
Palabra: abruptly Frec: 1 LogProb: -12.297628057736265
Palabra: abs Frec: 164 LogProb: -7.884829764395629
